title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Esa Mujer","Ephrem J","Esa Mujer",TCAFJ2132972,spotify,4G4H2B7IVIR9Dhqw9ARiRV,197s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4G4H2B7IVIR9Dhqw9ARiRV
Veneno,"Dama, Moncadita",Veneno,ES71G2129328,spotify,2Adzfk6U0REIgCSFl9Y9hB,178s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/2Adzfk6U0REIgCSFl9Y9hB
"Entre Tú y Mil Mares","Dani J","Entre Tú y Mil Mares",ES19S2100003,spotify,0fFndHXQg3mEXzQ8vi3mf9,217s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0fFndHXQg3mEXzQ8vi3mf9
"Porque Lloras","Daniel Agostini","Porque Lloras (Bachata)",ART0G1808673,spotify,4PczqZNXUtYedU3eqghBJT,211s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4PczqZNXUtYedU3eqghBJT
"Nadie Como Tu (Bachata)",Montelier,"Nadie Como Tu (Bachata)",ushm22163016,spotify,4EoL9XclHh4TutNaf2duX9,256s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4EoL9XclHh4TutNaf2duX9
"Cuando Te Vuelva a Ver - Bachata Version","Grupo Extra, Lirow","Bachata Union",CH9182100045,spotify,3BwdoA2FFCEpxrTf062ze5,223s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/3BwdoA2FFCEpxrTf062ze5
"Cuánto Vale Su Amor","Jhonny Evidence, Bachata Heightz","Cuánto Vale Su Amor",QZHZ52113742,spotify,4EBB09edqQRVBpJFKvw9k2,224s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/4EBB09edqQRVBpJFKvw9k2
"La Botella","Andrw John","La Botella",QM7281850706,spotify,0C5ieLFZ11XJ2dlKRU1irb,196s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/0C5ieLFZ11XJ2dlKRU1irb
"Ya Te Olvide","Karlos Rosé",SABOTAJE,USUM71913639,spotify,6PSbu8gIpBsRvaGXFjaLXH,217s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/6PSbu8gIpBsRvaGXFjaLXH
"La Intriga","DJ Ramon, Voz A Voz, Bachata Sweet","La Intriga",QZHN72117725,spotify,7k94psWGrfWrJF7ymxNpqx,230s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/7k94psWGrfWrJF7ymxNpqx
"Borracho de Amor","Voz A Voz, Andrw John","Borracho de Amor",uscgh2131177,spotify,38DcnDxFtWqRWfhOWYyPoW,193s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/38DcnDxFtWqRWfhOWYyPoW
"Bachata Flamenca Te Has Marchado (feat. Marina)","Demarco Flamenco, Marina","Bachata Flamenca Te has marchado (feat. Marina)",ES5152000263,spotify,28g322c3E8n9kRtREqvMve,202s,"2024-09-14 21:03",1147321858,https://open.spotify.com/track/28g322c3E8n9kRtREqvMve
